Ahmadeev Rinas,M,10 km,29:01
Korobkina Elena,F,10 km,31:49
Plohotnikov Konstantin,M,10 km,29:18
Klopcov YUrij,M,10 km,30:01
Lebedeva Lyudmila,F,10 km,34:30
Hudeev Illarion,M,10 km,30:43
Sidorova Alla,F,10 km,33:24
Avvakumenkova Ul'yana,F,10 km,35:08
Ponomarev Vladimir,M,10 km,29:54
Aleksandrova Anastasiya,F,10 km,32:39
Nikitin Vladimir,M,10 km,28:22
Tishakin Anton,M,10 km,30:37
Simakova Svetlana,F,10 km,33:28
Aplachkina Svetlana,F,10 km,33:46
Borodinova Aleksandra,F,10 km,35:18
Nedelin Dmitrij,M,10 km,29:52
Konyakina YUliya,F,10 km,35:14
Petrova Anna,F,10 km,33:57
Sojkka Dmitrij,M,10 km,30:29
Adyshkin Pavel,M,10 km,29:54
